10.190.96.1,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.10,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.101,:,ok=5,changed=3,unreachable=0,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.11,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.110,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.12,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.13,:,ok=5,changed=3,unreachable=0,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.140,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.142,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.34,:,ok=5,changed=3,unreachable=0,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.4,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.40,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.41,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.42,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.43,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.44,:,ok=5,changed=4,unreachable=0,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.5,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.50,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.51,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.52,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.61,:,ok=5,changed=3,unreachable=0,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.62,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.64,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.71,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.72,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.74,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.81,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.82,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.84,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.91,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
10.190.96.92,:,ok=0,changed=0,unreachable=1,failed=0,skipped=0,rescued=0,ignored=0,
